"Upfront cost","Monthly cost","Total 12 months cost","Currency"
26745,5182.08,88738.96,USD
,"* Includes upfront cost",

"Group hierarchy","Region","Description","Service","Upfront","Monthly","First 12 months total","Currency","Status","Configuration summary"
"My Estimate","US East (N. Virginia)",,"VPN Connection",0,73,876.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (2)"
"My Estimate","US East (N. Virginia)",,"Amazon Route 53",0,183,2196.00,USD,,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"
"My Estimate","US East (N. Virginia)",,"Amazon EC2",11934,2694.26,44265.12,USD,,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (m5a.4xlarge), Pricing strategy (1 Year Partial upfront), Enable monitoring (disabled), EBS Storage amount (500 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
"My Estimate","US East (N. Virginia)",,"Amazon RDS for MySQL",14620,1846.27,36775.24,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (500 GB), Quantity (2), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (730 Hours/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr Partial Upfront), Additional backup storage (500 GB)"
"My Estimate","US East (N. Virginia)",,"S3 Standard",0,2.3,27.60,USD,,S3 Standard storage (100 GB per month)"
"My Estimate","US East (N. Virginia)",,"AWS Data Transfer",0,0,0.00,USD,,"DT Inbound: Not selected (750 GB per month), DT Outbound: Not selected (50 TB per month), DT Intra-Region: (0 TB per month)"
"My Estimate","US East (N. Virginia)",,"Amazon Elastic IP",0,0,0.00,USD,,"Number of EC2 instances (6), Number of EIPs per instance (1)"
"My Estimate","US East (N. Virginia)",,"Application Load Balancer",0,383.25,4599.00,USD,,Number of Application Load Balancers (2)"
"My Estimate","US East (N. Virginia)",,"Nat Gateway",0,23.34,280.08,USD,,"Number of Nat Gateways (1)"


"Acknowledgement"
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
